,Race Name,Race Location,Race Date,Race Format,Race Start Time,Air Temperature,Relative Humidity,Air Pressure,Rainfall,Track Temperature,Wind Speed,Driver ID,Driver Name,Driver Number and Race Name,Driver Team,Position,Race Time,Race Point,Race Grid Position
16,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,"Sakhir,Bahrain",2023-03-05 00:00:00,conventional,2023-03-05 15:00:00,0.7252260493726906,0.0,0.9936584357260787,False,0.42561490176904543,0.0,4,norris,4 : FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,McLaren,17.0,NaT,0.0,11.0
17,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,"Sakhir,Bahrain",2023-03-05 00:00:00,conventional,2023-03-05 15:00:00,0.7252260493726906,0.0,0.9936584357260787,False,0.42561490176904543,0.0,31,ocon,31 : FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,Alpine,18.0,NaT,0.0,9.0
18,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,"Sakhir,Bahrain",2023-03-05 00:00:00,conventional,2023-03-05 15:00:00,0.7252260493726906,0.0,0.9936584357260787,False,0.42561490176904543,0.0,16,leclerc,16 : FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,Ferrari,19.0,NaT,0.0,3.0
19,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,"Sakhir,Bahrain",2023-03-05 00:00:00,conventional,2023-03-05 15:00:00,0.7252260493726906,0.0,0.9936584357260787,False,0.42561490176904543,0.0,81,piastri,81 : FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,McLaren,20.0,NaT,0.0,18.0
20,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,"Jeddah,Saudi Arabia",2023-03-19 00:00:00,conventional,2023-03-19 17:00:00,0.6339042133555691,0.7025437178465301,0.9688142150172351,False,0.4511428017891895,0.3313163213927451,11,perez,11 : FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Red Bull Racing,1.0,0 days 01:21:14.894000,25.0,1.0
21,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,"Jeddah,Saudi Arabia",2023-03-19 00:00:00,conventional,2023-03-19 17:00:00,0.6339042133555691,0.7025437178465301,0.9688142150172351,False,0.4511428017891895,0.3313163213927451,1,max_verstappen,1 : FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Red Bull Racing,2.0,0 days 00:00:05.355000,19.0,15.0
22,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,"Jeddah,Saudi Arabia",2023-03-19 00:00:00,conventional,2023-03-19 17:00:00,0.6339042133555691,0.7025437178465301,0.9688142150172351,False,0.4511428017891895,0.3313163213927451,14,alonso,14 : FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Aston Martin,3.0,0 days 00:00:20.728000,15.0,2.0
23,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,"Jeddah,Saudi Arabia",2023-03-19 00:00:00,conventional,2023-03-19 17:00:00,0.6339042133555691,0.7025437178465301,0.9688142150172351,False,0.4511428017891895,0.3313163213927451,63,russell,63 : FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Mercedes,4.0,0 days 00:00:25.866000,12.0,3.0
24,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,"Jeddah,Saudi Arabia",2023-03-19 00:00:00,conventional,2023-03-19 17:00:00,0.6339042133555691,0.7025437178465301,0.9688142150172351,False,0.4511428017891895,0.3313163213927451,44,hamilton,44 : FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Mercedes,5.0,0 days 00:00:31.065000,10.0,7.0
25,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,"Jeddah,Saudi Arabia",2023-03-19 00:00:00,conventional,2023-03-19 17:00:00,0.6339042133555691,0.7025437178465301,0.9688142150172351,False,0.4511428017891895,0.3313163213927451,55,sainz,55 : FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Ferrari,6.0,0 days 00:00:35.876000,8.0,4.0
26,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,"Jeddah,Saudi Arabia",2023-03-19 00:00:00,conventional,2023-03-19 17:00:00,0.6339042133555691,0.7025437178465301,0.9688142150172351,False,0.4511428017891895,0.3313163213927451,16,leclerc,16 : FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Ferrari,7.0,0 days 00:00:43.162000,6.0,12.0
